1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,"If I applied for a job, a prospective employer would most likely hire me because I am:"
32,"When involved in an intimate relationship, if I feel threatened by my partner, I:"
33,"For me, life is most meaningful when it: "
34,"As a child, I was:"
35,"As an adult, I am:"
36,"As a parent, I am:"
37,"In an argument with a friend, I am most likely to be:"
38,"If my friend was in trouble, I would be:"
39,"When making decisions, I am:"
40,"When I fail, I feel:"
41,If someone crosses me:
42,Work is:
43,"In social situations, I am most often:"
44,"In a relationship, I am most concerned with being:"
45,"To feel alive and positive, I seek:"
